label,source,target
cbda-dbac,2ac,2bc
cbda-dbac,2ac,2dc
cdab-abcd,2ac,2ad
cdab-acbd,2ac,2ad
cdab-acdb,2ac,2ad
cdab-bacd,2ac,2ad
cdab-bdac,2ac,2dc
cdab-dabc,2ac,2dc
cdab-dacb,2ac,2dc
cdab-dbac,2ac,2dc
cdba-abcd,2ac,2ad
cdba-acbd,2ac,2ab
cdba-acbd,2ac,2ad
cdba-acdb,2ac,2ab
cdba-acdb,2ac,2ad
cdba-adcb,2ac,2ab
cdba-bacd,2ac,2ad
cdba-bacd,2ac,2bc
cdba-badc,2ac,2bc
cdba-bdac,2ac,2bc
cdba-bdac,2ac,2dc
cdba-dabc,2ac,2dc
cdba-dacb,2ac,2ab
cdba-dacb,2ac,2dc
cdba-dbac,2ac,2bc
cdba-dbac,2ac,2dc
dabc-bcda,1ac,1dc
dabc-cbda,1ac,1dc
dabc-cdab,1ac,1dc
dabc-cdba,1ac,1dc
dacb-bcda,1ac,1dc
dacb-cbad,1ac,1ab
dacb-cbda,1ac,1ab
dacb-cbda,1ac,1dc
dacb-cdab,1ac,1dc
dacb-cdba,1ac,1ab
dacb-cdba,1ac,1dc
dacb-dcba,1ac,1ab
dbac-bcda,1ac,1dc
dbac-cbad,1ac,1bc
dbac-cbda,1ac,1bc
dbac-cbda,1ac,1dc
dbac-cdab,1ac,1dc
dbac-cdba,1ac,1bc
dbac-cdba,1ac,1dc
dbac-dcba,1ac,1bc
dcba-acbd,2ac,2ab
dcba-acdb,2ac,2ab
dcba-adcb,2ac,2ab
dcba-bacd,2ac,2bc
dcba-badc,2ac,2bc
dcba-bdac,2ac,2bc
dcba-dacb,2ac,2ab
dcba-dbac,2ac,2bc
abdc-bdca,1ad,1ac
abdc-dbca,1ad,1ac
abdc-dcab,1ad,1ac
abdc-dcba,1ad,1ac
acdb-cdba,1ad,1ab
acdb-dbac,1ad,1ab
acdb-dbca,1ad,1ab
acdb-dcba,1ad,1ab
adbc-bdca,1ad,1ac
adbc-cdba,1ad,1ab
adbc-dbac,1ad,1ab
adbc-dbca,1ad,1ab
adbc-dbca,1ad,1ac
adbc-dcab,1ad,1ac
adbc-dcba,1ad,1ab
adbc-dcba,1ad,1ac
adcb-bdca,1ad,1ac
adcb-cdba,1ad,1ab
adcb-dbac,1ad,1ab
adcb-dbca,1ad,1ab
adcb-dbca,1ad,1ac
adcb-dcab,1ad,1ac
adcb-dcba,1ad,1ab
adcb-dcba,1ad,1ac
bacd-cdba,1ad,1bd
bacd-dbac,1ad,1bd
bacd-dbca,1ad,1bd
bacd-dcba,1ad,1bd
badc-bdca,1ad,1ac
badc-cdba,1ad,1bd
badc-dbac,1ad,1bd
badc-dbca,1ad,1ac
badc-dbca,1ad,1bd
badc-dcab,1ad,1ac
badc-dcba,1ad,1ac
badc-dcba,1ad,1bd
bcad-bdca,1ad,1cd
bcad-cdba,1ad,1bd
bcad-dbac,1ad,1bd
bcad-dbca,1ad,1bd
bcad-dbca,1ad,1cd
bcad-dcab,1ad,1cd
bcad-dcba,1ad,1bd
bcad-dcba,1ad,1cd
bdca-abdc,2ad,2ac
bdca-adbc,2ad,2ac
bdca-adcb,2ad,2ac
bdca-badc,2ad,2ac
bdca-bcad,2ad,2cd
bdca-cabd,2ad,2cd
bdca-cadb,2ad,2cd
bdca-cbad,2ad,2cd
cabd-bdca,1ad,1cd
cabd-dbca,1ad,1cd
cabd-dcab,1ad,1cd
cabd-dcba,1ad,1cd
cadb-bdca,1ad,1cd
cadb-cdba,1ad,1ab
cadb-dbac,1ad,1ab
cadb-dbca,1ad,1ab
cadb-dbca,1ad,1cd
cadb-dcab,1ad,1cd
cadb-dcba,1ad,1ab
cadb-dcba,1ad,1cd
cbad-bdca,1ad,1cd
cbad-cdba,1ad,1bd
cbad-dbac,1ad,1bd
cbad-dbca,1ad,1bd
cbad-dbca,1ad,1cd
cbad-dcab,1ad,1cd
cbad-dcba,1ad,1bd
cbad-dcba,1ad,1cd
cdba-acdb,2ad,2ab
cdba-adbc,2ad,2ab
cdba-adcb,2ad,2ab
cdba-bacd,2ad,2bd
cdba-badc,2ad,2bd
cdba-bcad,2ad,2bd
cdba-cadb,2ad,2ab
cdba-cbad,2ad,2bd
dbac-acdb,2ad,2ab
dbac-adbc,2ad,2ab
dbac-adcb,2ad,2ab
dbac-bacd,2ad,2bd
dbac-badc,2ad,2bd
dbac-bcad,2ad,2bd
dbac-cadb,2ad,2ab
dbac-cbad,2ad,2bd
dbca-abdc,2ad,2ac
dbca-acdb,2ad,2ab
dbca-adbc,2ad,2ab
dbca-adbc,2ad,2ac
dbca-adcb,2ad,2ab
dbca-adcb,2ad,2ac
dbca-bacd,2ad,2bd
dbca-badc,2ad,2ac
dbca-badc,2ad,2bd
dbca-bcad,2ad,2bd
dbca-bcad,2ad,2cd
dbca-cabd,2ad,2cd
dbca-cadb,2ad,2ab
dbca-cadb,2ad,2cd
dbca-cbad,2ad,2bd
dbca-cbad,2ad,2cd
dcab-abdc,2ad,2ac
dcab-adbc,2ad,2ac
dcab-adcb,2ad,2ac
dcab-badc,2ad,2ac
dcab-bcad,2ad,2cd
dcab-cabd,2ad,2cd
dcab-cadb,2ad,2cd
dcab-cbad,2ad,2cd
dcba-abdc,2ad,2ac
dcba-acdb,2ad,2ab
dcba-adbc,2ad,2ab
dcba-adbc,2ad,2ac
dcba-adcb,2ad,2ab
dcba-adcb,2ad,2ac
dcba-bacd,2ad,2bd
dcba-badc,2ad,2ac
dcba-badc,2ad,2bd
dcba-bcad,2ad,2bd
dcba-bcad,2ad,2cd
dcba-cabd,2ad,2cd
dcba-cadb,2ad,2ab
dcba-cadb,2ad,2cd
dcba-cbad,2ad,2bd
dcba-cbad,2ad,2cd
acbd-bacd,2ba,2bc
acbd-badc,2ba,2bc
acbd-bdac,2ba,2bc
acbd-cbad,2ba,2ca
acbd-cbda,2ba,2ca
acbd-cdba,2ba,2ca
acbd-dbac,2ba,2bc
acbd-dcba,2ba,2ca
acdb-bacd,2ba,2bc
acdb-bacd,2ba,2bd
acdb-badc,2ba,2bc
acdb-badc,2ba,2bd
acdb-bcad,2ba,2bd
acdb-bdac,2ba,2bc
acdb-cbad,2ba,2bd
acdb-cbad,2ba,2ca
acdb-cbda,2ba,2ca
acdb-cdba,2ba,2ca
acdb-cdba,2ba,2da
acdb-dbac,2ba,2bc
acdb-dbac,2ba,2da
acdb-dbca,2ba,2da
acdb-dcba,2ba,2ca
acdb-dcba,2ba,2da
adbc-bacd,2ba,2bd
adbc-badc,2ba,2bd
adbc-bcad,2ba,2bd
adbc-cbad,2ba,2bd
adbc-cdba,2ba,2da
adbc-dbac,2ba,2da
adbc-dbca,2ba,2da
adbc-dcba,2ba,2da
adcb-bacd,2ba,2bc
adcb-bacd,2ba,2bd
adcb-badc,2ba,2bc
adcb-badc,2ba,2bd
adcb-bcad,2ba,2bd
adcb-bdac,2ba,2bc
adcb-cbad,2ba,2bd
adcb-cbad,2ba,2ca
adcb-cbda,2ba,2ca
adcb-cdba,2ba,2ca
adcb-cdba,2ba,2da
adcb-dbac,2ba,2bc
adcb-dbac,2ba,2da
adcb-dbca,2ba,2da
adcb-dcba,2ba,2ca
adcb-dcba,2ba,2da
bacd-acbd,1ba,1bc
bacd-acdb,1ba,1bc
bacd-acdb,1ba,1bd
bacd-adbc,1ba,1bd
bacd-adcb,1ba,1bc
bacd-adcb,1ba,1bd
bacd-cadb,1ba,1bd
bacd-dacb,1ba,1bc
badc-acbd,1ba,1bc
badc-acdb,1ba,1bc
badc-acdb,1ba,1bd
badc-adbc,1ba,1bd
badc-adcb,1ba,1bc
badc-adcb,1ba,1bd
badc-cadb,1ba,1bd
badc-dacb,1ba,1bc
bcad-acdb,1ba,1bd
bcad-adbc,1ba,1bd
bcad-adcb,1ba,1bd
bcad-cadb,1ba,1bd
bdac-acbd,1ba,1bc
bdac-acdb,1ba,1bc
bdac-adcb,1ba,1bc
bdac-dacb,1ba,1bc
cadb-bacd,2ba,2bd
cadb-badc,2ba,2bd
cadb-bcad,2ba,2bd
cadb-cbad,2ba,2bd
cadb-cdba,2ba,2da
cadb-dbac,2ba,2da
cadb-dbca,2ba,2da
cadb-dcba,2ba,2da
cbad-acbd,1ba,1ca
cbad-acdb,1ba,1bd
cbad-acdb,1ba,1ca
cbad-adbc,1ba,1bd
cbad-adcb,1ba,1bd
cbad-adcb,1ba,1ca
cbad-cadb,1ba,1bd
cbad-dacb,1ba,1ca
cbda-acbd,1ba,1ca
cbda-acdb,1ba,1ca
cbda-adcb,1ba,1ca
cbda-dacb,1ba,1ca
cdba-acbd,1ba,1ca
cdba-acdb,1ba,1ca
cdba-acdb,1ba,1da
cdba-adbc,1ba,1da
cdba-adcb,1ba,1ca
cdba-adcb,1ba,1da
cdba-cadb,1ba,1da
cdba-dacb,1ba,1ca
dacb-bacd,2ba,2bc
dacb-badc,2ba,2bc
dacb-bdac,2ba,2bc
dacb-cbad,2ba,2ca
dacb-cbda,2ba,2ca
dacb-cdba,2ba,2ca
dacb-dbac,2ba,2bc
dacb-dcba,2ba,2ca
dbac-acbd,1ba,1bc
dbac-acdb,1ba,1bc
dbac-acdb,1ba,1da
dbac-adbc,1ba,1da
dbac-adcb,1ba,1bc
dbac-adcb,1ba,1da
dbac-cadb,1ba,1da
dbac-dacb,1ba,1bc
dbca-acdb,1ba,1da
dbca-adbc,1ba,1da
dbca-adcb,1ba,1da
dbca-cadb,1ba,1da
dcba-acbd,1ba,1ca
dcba-acdb,1ba,1ca
dcba-acdb,1ba,1da
dcba-adbc,1ba,1da
dcba-adcb,1ba,1ca
dcba-adcb,1ba,1da
dcba-cadb,1ba,1da
